Cod Forn	Item	Unid	Qtde	DESCRIÇÃO	Vlr.Unit.	Vlr.Total	DATA EMISSÃO	Nº Cotação:	Cond. Pagto	TIPO	Posto	Prazo	Validade	Status Pedido	Estoque	observação	Nota Fornecedor
2005	1	PC	1	Ferro solda Fame 40 W - 110V	54.6	54.6	40476	1	30 dias 	DDL	CIF	Imediato	10 dias 	Concluido	Sim		
2005	2	PC	1	Ferro solda Fame 70 W - 110V	70	70	40476	1	30 dias 	DDL	CIF	Imediato	10 dias 	Concluido	Sim		
2013	1	Pc	1	Serra circular 7.1/4 - Irwin	47.5	47.5	40477	2	30	DDL	CIF	7 dias	5 dias	Preço desacordo	Não		
2008	1	PC	1	Misturador metal gas/argonio RGA54	199	199	40477	3	35 dias 	DDL	CIF	15 dias 	10 dias 	Concluido	Não		
2008	2	PC	1	Chave fenda Gedore 036228	7.2	7.2	40477	3	35 dias 	DDL	CIF	15 dias 	10 dias 	Concluido	Não		
2008	3	PC	1	Chave fenda Gedore 036294	5.3	5.3	40477	3	35 dias 	DDL	CIF	15 dias 	10 dias 	Concluido	Não		
2008	4	PC	1	Chave fenda Gedore 036320	7.5	7.5	40477	3	35 dias 	DDL	CIF	15 dias 	10 dias 	Concluido	Não		
2008	5	PC	1	Martelo bola Gedore 037020	75	75	40477	3	35 dias 	DDL	CIF	15 dias 	10 dias 	Concluido	Não		
2008	6	PC	1	Chave fenda 036420	7.1	7.1	40477	3	35 dias 	DDL	CIF	15 dias 	10 dias 	Concluido	Não		
2008	7	PC	1	Chave fenda 036260	7.1	7.1	40477	3	35 dias 	DDL	CIF	15 dias 	10 dias 	Concluido	Não		
2005	1	PC	1	Galão plástico 5 litros com tampa rosqueável	25	25	40477	4	30 dias 	DDL	CIF	Imediato	10 dias 	Concluido			
2005	2	PC	3	Lixeira plástica 59 litros com tampa basculante - San Remo	75.9	75.9	40477	4	30 dias 	DDL	CIF	Imediato	10 dias 	Concluido			
2024	1	Pc	1	Bico para engraxadeira - Lumagi	9.3	9.3	40477	5	32	DDL	CIF	Imediato	5 dias	Preço desacordo	Sim		
2008	1	PC	10	Chave combinada cromo vanádio 9/16 - Vonder 	8.35	83.5	40478	6	35 dias 	DDL	CIF	7 dias 	10 dias 	Concluido	Não		
2008	2	PC	10	Broca aço rápido 3/8 - Vonder 	6.69	66.9	40478	6	35 dias 	DDL	CIF	7 dias 	10 dias 	Concluido	Não		
2008	3	PC	10	Broca aço rápido 9/16 - Vonder 	47.9	479	40478	6	35 dias 	DDL	CIF	7 dias 	10 dias 	Concluido	Não		
2008	4	PC	10	Chave fenda 1/4 x 6 - Tramontina 	7.35	73.5	40478	6	35 dias 	DDL	CIF	7 dias 	10 dias 	Concluido	Sim		
2008	5	PC	3	Rebolo 6x1 # 46 - Norton 	31.9	95.7	40478	6	35 dias 	DDL	CIF	7 dias 	10 dias 	Concluido	Não		
2008	1	PC	10	Ponteiro para martelete pneumático - 41 cm - MQB-20	97.1	971	40478	7	35 dias 	DDL	CIF	20 dias 	10 dias 	Concluido	Não		
2028	1	Pc	1	"Soquete sextavado enc 1/2 x 7/16"""	6.8	6.8	40478	8	30	DDL	FOB	Imediato	5 dias	Preço desacordo	Sim		
2028	2	Jg	1	Jogo chave combinada 6 a 24 - Belzer	178.9	178.9	40478	8	30	DDL	FOB	Imediato	5 dias	Preço desacordo	Não		
2028	3	Pc	2	Cabo força enc 3/4	45.7	91.4	40478	8	30	DDL	FOB	Imediato	5 dias	Preço desacordo	Sim		
2028	4	Pc	1	Paquimetro 200 mm - Digimess	135.9	135.9	40478	8	30	DDL	FOB	Imediato	5 dias	Preço desacordo	Sim		
2017	1	Pc	10	Nível aluminio 600 mm - Tramontina Pro	52.5	525	40478	9	30	DDL	CIF	Imediato	5 dias	Preço desacordo	Não		
2013	1	Pc	5	"Disco ruptura 9025 psi, conexao 1/2 20 UNF"	1080	5400	40478	10	30	DDL	CIF	15 dias	5 dias	Preço desacordo	Não		
2004	1	Pc	1	"Fresa topo metal duro 4 cortes - 3/8"" - resist. até 70 rockwell"	349.3	349.3	40479	11	30	DDL	CIF	15 dias	5 dias	Preço desacordo	Não		
2008	1	PC	1	Transformador solda 150 A - 110/220 - porta eletrodo - Vonder 	323.95	323.95	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	2	PC	1	Transformador solda 150 A - 110/220 - porta eletrodo - Vonder 	323.95	323.95	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	3	PC	1	Bolsa BL 010 - Vonder 	92.05	92.05	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	4	PC	1	Alicate universal VDE 822-50 - 91867 - Gedore 	155.84	155.84	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	5	PC	3	Faca curva decapadora de cabos VDE 4527 - 91859	295.37	886.11	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	6	PC	4	Chave ajustavel VDE 62-8 91748 - Gedore	145.09	580.36	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	7	PC	4	"Chave fenda VDE 2170 - 2,5 - 91807 - Gedore"	27.26	109.04	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
2008	8	PC	4	"Chave fenda VDE 2170 - 3,5 - 97808 - Gedore"	30.37	121.48	40479	12	35 dias 	DDL	CIF	Até 70 dias 	10 dias 	Fechado Parcial	Não		
